Company,Total Complaints,Average Severity
"HUNTINGTON NATIONAL BANK, THE",5253,1.2840281743765467
"CARRINGTON MORTGAGE SERVICES, LLC",5193,1.0271519352975158
BBVA FINANCIAL CORPORATION,5184,1.2663966049382716
"Westlake Services, LLC",5066,1.0088827477299644
"Diversified Consultants, Inc.",4939,1.3444017007491396
AFNI INC.,4812,1.0022859517871987
"Caliber Home Loans, Inc.",4690,1.0686567164179104
TOYOTA MOTOR CREDIT CORPORATION,4589,1.0947918936587493
"Early Warning Services, LLC",4561,1.0002192501644376
"Block, Inc.",4560,1.0094298245614035
"Rocket Mortgage, LLC",4560,1.0655701754385964
"National Credit Adjusters, LLC",4531,1.0083866696093577
HYUNDAI CAPITAL AMERICA,4528,1.0812720848056536
"Seterus, Inc.",4489,1.0478948540877702
"Kriya Capital, LLC",4394,1.756486117432863
"Southwest Credit Systems, L.P.",4344,1.0906998158379373
"SANTANDER BANK, NATIONAL ASSOCIATION",4275,1.3513450292397662
"Flagstar Bank, N.A.",4209,1.0567830838679022
"HW Holding, Inc",4185,1.123536439665472
"Commonwealth Financial Systems, Inc.",4114,1.0019445794846864
PENTAGON FEDERAL CREDIT UNION,4035,1.267905824039653
"HCFS Health Care Financial Services, Inc.",3988,1.0007522567703109
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",3951,1.020501138952164
CORELOGIC INC,3863,1.0090603158167228
"CAINE & WEINER COMPANY, INC.",3816,1.00104821802935
RUSHMORE LOAN MANAGEMENT SERVICES LLC,3802,1.0
"WESTERN UNION COMPANY, THE",3746,1.020822210357715
"PENNYMAC LOAN SERVICES, LLC.",3733,1.1548352531476025
Netspend Corporation,3691,1.021945272283934
BMO HARRIS BANK NATIONAL ASSOCIATION,3576,1.203579418344519
SLM CORPORATION,3572,1.1727323628219486
OneMain Finance Corporation,3544,1.1100451467268624
"CAVALRY INVESTMENTS, LLC",3445,1.253120464441219
CURO Intermediate Holdings,3406,1.0502055196711686
Exeter Finance Corp.,3385,1.0011816838995569
"CBC Companies, Inc.",3360,1.2544642857142858
"SANTANDER HOLDINGS USA, INC.",3316,1.0868516284680338
Square Inc,3265,1.003675344563553
NISSAN MOTOR ACCEPTANCE COMPANY LLC,3158,1.0101329955668144
"ENOVA INTERNATIONAL, INC.",3080,1.0058441558441558
"Affirm Holdings, Inc",2982,1.0013413816230718
"Maximus Education, LLC dba Aidvantage",2941,1.2006120367222033
AMERICAN HONDA FINANCE CORP,2930,1.1467576791808873
Radius Global Solutions LLC,2898,1.0169082125603865
"Genesis FS Card Services, Inc.",2861,1.0276127228241874
"EOS Holdings, Inc.",2819,1.0649166371053564
"Fay Servicing, LLC",2783,1.0025152712899748
"ID Analytics, Inc.",2774,1.1095890410958904
Phoenix Financial Services LLC,2755,1.017059891107078
EdFinancial Services,2747,1.2915908263560247
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,2742,1.1185266229029904
"WAKEFIELD & ASSOCIATES, INC.",2684,1.0219821162444114
"Credit Karma, LLC",2670,1.0292134831460673
"ONEMAIN FINANCIAL HOLDINGS, LLC.",2646,1.1621315192743764
FIRST NATIONAL BANK OF OMAHA,2586,1.2327919566898686
"The CMI Group, Inc.",2567,1.678613167121153
"ProCollect, Inc.",2564,1.001170046801872
Synovus Bank,2562,1.0526932084309133
Self Financial Inc.,2528,1.0391613924050633
Bridgecrest Acceptance Corporation,2517,1.0071513706793802
TCF NATIONAL BANK,2493,1.3385479342158042
"FAIR COLLECTIONS & OUTSOURCING, INC.",2457,1.0142450142450143
"Amsher Collection Services, Inc.",2450,1.026122448979592
PHH Mortgage Services Corporation,2450,1.1840816326530612
"Receivables Performance Management, LLC",2449,1.0028583095140873
BANK OF THE WEST,2444,1.1751227495908347
"The CBE Group, Inc.",2416,1.107201986754967
NCB Management Services Inc.,2311,1.0069234097793163
Atlanticus Services Corporation,2226,1.2394429469901167
"LD Holdings Group, LLC",2213,1.10573881608676
"CIT BANK, NATIONAL ASSOCIATION",2187,1.1989026063100137
"Conn's, Inc.",2142,1.2226890756302522
FORD MOTOR CREDIT CO.,2099,1.1958075273939972
"Sequium Asset Solutions, LLC",2086,1.0004793863854267
"BMW Financial Services NA, LLC",2067,1.003870343492985
"Dovenmuehle Mortgage, Inc.",2052,1.0248538011695907
"LAKEVIEW LOAN SERVICING, LLC",2020,1.0133663366336634
"Medical Data Systems, Inc.",2015,1.0034739454094292
RoundPoint Mortgage Servicing LLC,2011,1.0124316260566881
"Capio Partners, LLC",1966,1.9938962360122074
"SUNRISE CREDIT SERVICES, INC",1964,1.0336048879837068
Ad Astra Recovery Services Inc,1942,1.0066941297631309
Midwest Recovery Systems,1933,1.0067252974650802
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",1921,1.0374804789172307
"Ability Recovery Services, LLC",1912,1.0099372384937237
CNG FINANCIAL CORPORATION,1856,1.015625
"CMRE Financial Services, Inc.",1844,1.004880694143167
"EXPERT GLOBAL SOLUTIONS, INC.",1821,1.0027457440966503
World Acceptance Corporation,1800,1.0205555555555557
"Debt Recovery Solutions, LLC",1797,1.0
"Colony Brands, Inc.",1788,1.1884787472035794
T.S. Holdings,1786,1.2486002239641658
MoneyLion Inc.,1784,1.1597533632286996
"Dynamic Recovery Solutions, LLC",1767,1.6728919071873232
AmeriCollect,1765,1.0175637393767705
IQOR US INC,1761,1.756388415672913
Penn Credit Corporation,1760,1.0011363636363637
"Consumer Portfolio Services, Inc.",1699,1.0188346085932902
"I.Q. DATA INTERNATIONAL, INC.",1699,1.198351971748087
Selene Finance LP,1695,1.008259587020649
"ONLINE Information Services, Inc.",1686,1.3279952550415184
"Aargon Agency, Inc.",1666,1.117046818727491
FC HoldCo LLC,1656,1.0048309178743962
Conduent Incorporated,1645,1.0297872340425531
GREAT LAKES,1574,1.0063532401524777
"NRA Group, LLC",1565,1.1904153354632587
"CarMax, Inc.",1562,1.028809218950064
"ACIMA CREDIT, LLC",1544,1.0459844559585492
"EVERBANK, NATIONAL ASSOCIATION",1541,1.0558079169370538
"Franklin Collection Service, Inc.",1516,1.0032981530343008
Innovis,1503,1.0
"AmeriHome Mortgage Company, LLC",1503,1.0179640718562875
"American Credit Acceptance, LLC",1495,1.1270903010033444
Lending Club Corp,1487,1.1452589105581708
"STERLING JEWELERS, INC.",1476,1.062330623306233
Mercedes Benz Financial Services,1471,1.026512576478586
"MRS BPO, LLC",1464,1.601775956284153
BANCO POPULAR DE PUERTO RICO,1422,1.1258790436005626
"Receivables Management Partners, LLC",1404,1.0341880341880343
AMERISAVE MORTGAGE CORPORATION,1403,1.2758374910905204
"Continental Finance Company, LLC",1388,1.0136887608069165
Incomm Holdings Inc.,1386,1.0108225108225108
ACS Education Services,1355,1.0523985239852398
Source Receivables Management LLC,1353,1.0583887657058388
"MARINER FINANCE, LLC",1349,1.0222386953298739
FISERV INC.,1339,1.0552651232262882
VW Credit,1309,1.2994652406417113
Global Lending Services LLC,1290,1.0085271317829458
"Upgrade, Inc.",1276,1.10423197492163
"ARVEST BANK GROUP, INC.",1272,1.0526729559748427
"Capital Accounts, LLC",1263,1.0253365003958828
"Servis One, Inc., Titusville, PA Branch",1255,1.0175298804780877
TENET HEALTHCARE CORPORATION,1250,1.0024
Army and Air Force Exchange Service,1237,1.011317704122878
"Stellar Recovery, Inc.",1226,1.0171288743882545
MIDFIRST BANK,1226,1.198205546492659
Selene Holdings LLC,1222,1.0040916530278232
"Big Picture Loans, LLC",1221,1.009009009009009
"ORG GC GP Buyer, LLC",1219,1.328137817883511
"CASHCALL, INC.",1215,1.0008230452674898
"Spring Oaks Capital, LLC",1211,1.0726672171758878
TMX Finance LLC,1210,1.0256198347107437
"Security Credit Services, LLC",1204,1.004983388704319
"COMMUNITY CHOICE FINANCIAL, INC.",1203,1.0440565253532834
First Data Corporation,1202,1.124792013311148
Rent Recovery Solutions,1201,1.0016652789342215
R & B Corporation of Virginia,1198,1.0275459098497495
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",1191,1.0201511335012594
"Diversified Adjustment Service, Inc.",1129,1.012400354295837
FIRST HORIZON BANK,1115,1.1542600896860986
Monterey Financial Services LLC,1111,1.1791179117911792
"Aldous & Associates, PLLC",1108,1.023465703971119
"Professional Debt Mediation, Inc.",1105,1.0018099547511312
"Harris & Harris, Ltd.",1103,1.0009066183136899
"Eastern Account Systems of Connecticut, Inc.",1089,1.0
"The Bureaus, Inc.",1079,1.0046339202965708
"ECMC GROUP, INC.",1074,1.0381750465549349
"United Shore Financial Services, LLC",1071,1.0345471521942111
"Waypoint Resource Group, LLC",1067,1.0037488284910965
"Avant Holding Company, Inc.",1067,1.0328022492970947
"Empowerment Ventures, LLC",1063,1.825964252116651
"BSI Financial Holdings, Inc.",1058,1.0103969754253308
"The Outsource Group, Inc",1054,1.0018975332068312
"Credit Protection Association, L.P.",1049,1.5014299332697807
SECURITY FINANCE CORP,1041,1.10566762728146
Alorica Inc.,1040,1.1298076923076923
"Pinnacle Credit Services, LLC",1040,1.1442307692307692
Consumer Adjustment Company Incorporated,1029,1.0417881438289602
"URS Holding, LLC",1026,1.0847953216374269
"WEBSTER BANK, NATIONAL ASSOCIATION",1007,1.2264150943396226
Delbert Services,1006,1.0089463220675945
"Real Time Group, Inc.",1001,1.005994005994006
"FIRST CITIZENS BANCSHARES, INC.",999,1.2132132132132132
"Social Finance, Inc.",992,1.0252016129032258
"Trident Asset Management, L.L.C.",980,1.3204081632653062
"United Collection Bureau, Inc.",933,1.0010718113612005
HEARTLAND PAYMENT SYSTEMS INC,932,1.0053648068669527
"STATE FARM BANK, FSB",930,1.1612903225806452
FIRST ADVANTAGE CORPORATION,928,1.0064655172413792
Lendmark Financial Services,924,1.0086580086580086
"AR Resources, Inc.",920,1.0021739130434784
"PLANET HOME LENDING, LLC",918,1.1045751633986929
"Paramount Recovery Systems, L.P.",917,1.0948745910577973
V and H Portfolio,915,1.5049180327868852
U.S. BANK NATIONAL ASSOCIATION - SAN FRANCISCO MAIN BRANCH,909,1.317931793179318
"Bull City Financial Solutions, Inc",908,1.0451541850220265
LJ Ross Associates,907,1.0286659316427784
"MONEY SOURCE, INC., THE",882,1.0170068027210883
"Continental Services Group, Inc. d/b/a ConServe",866,1.01270207852194
"Williams & Fudge, Inc",865,1.0
"NCC Business Services, Inc.",861,1.0046457607433217
"First Federal Credit Control, Inc.",860,1.0
"Tower Loan of Mississippi, Inc.",860,1.0023255813953489
"JH Portfolio Debt Equities, LLC",858,1.1037296037296038
TrueAccord Corp.,857,1.0023337222870479
"First National Collection Bureau, Inc.",849,1.0
"Choice Recovery, Inc.",846,1.070921985815603
"Byrider Franchising, LLC",842,1.005938242280285
Home Point Financial Corporation,838,1.0202863961813842
Velocity Portfolio Group,837,1.014336917562724
PRESTIGE FINANCIAL SERVICES INC,831,1.0613718411552346
"R.M. Galicia, Inc.",829,1.3679131483715319
"Adler Wallach & Associates, Inc.",828,1.2838164251207729
"Advance America, Cash Advance Centers, Inc.",826,1.036319612590799
"Firstsource Business Process Services, LLC",816,1.0024509803921569
"Residential Credit Solutions, Inc.",815,1.0748466257668712
United Revenue Corporation,815,1.0834355828220859
The Receivable Management Services LLC,815,1.1766871165644173
"American First Finance, Inc.",803,1.3163138231631382
"Credit Systems International, Inc.",802,1.0
"Upstart Holdings, Inc.",801,1.0636704119850187
Blackhawk Network Holdings Inc.,800,1.4125
Regional Management Corporation,787,1.0952986022871665
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",785,1.2127388535031847
ZIONS BANCORPORATION,783,1.1890166028097062
"Prosper Marketplace, Inc.",781,1.0653008962868118
ROBINHOOD MARKETS INC.,780,1.0038461538461538
"LDF Holdings, LLC",779,1.079589216944801
"Alliance One, Inc.",777,1.202059202059202
Credit Plus Inc,771,1.0038910505836576
TransferWise Ltd,767,1.0990873533246415
Google Compare Credit Cards Inc.,766,1.0352480417754568
The Law Offices of Mitchell D. Bluhm & Associates,765,1.9947712418300654
"Risecredit, LLC",761,1.0157687253613665
CONTRACT CALLERS INC,757,1.1030383091149274
BAM Management US Holdings Inc.,753,1.0239043824701195
DriveTime,753,1.046480743691899
World Omni Financial Corp.,750,1.116
OPORTUN FINANCIAL CORPORATION,749,1.190921228304406
"RentDebt Automated Collections, LLC",733,1.0
STATE EMPLOYEES CREDIT UNION,733,1.0504774897680764
Thaxton Investment Corporation,730,1.0178082191780822
Statebridge Company,729,1.0027434842249656
"Allied Collection Services, Inc. (Nevada)",729,1.0356652949245542
"Pressler & Pressler, LLP",728,1.004120879120879
"Retrieval-Masters Creditors Bureau, Inc., Elmsford, NY Branch",727,1.3507565337001375
Credit Corp Solutions Inc.,725,1.0234482758620689
"CHARLES SCHWAB CORPORATION, THE",721,1.116504854368932
21ST MORTGAGE CORP.,720,1.0166666666666666
Winklevoss Exchange LLC,715,1.0013986013986014
Advanced Resolution Services Inc.,714,1.0140056022408963
"W&A Intermediate Co., LLC",712,1.1502808988764044
First Credit Services Inc.,708,1.0042372881355932
Factor Trust,708,1.0056497175141244
"GreenSky, LLC",699,1.1716738197424892
"Checkr, Inc",696,1.0086206896551724
FIRST NATIONAL BANK OF PENNSYLVANIA,692,1.3511560693641618
"National Enterprise Systems, Inc.",688,1.130813953488372
American Coradius International LLC,686,1.0072886297376094
COMMERCE BANK,684,1.20906432748538
Performant Financial Corporation,683,1.2518301610541727
"Asset Management Outsourcing, Inc.",672,1.0
NEW YORK COMMUNITY BANCORP INC,672,1.0699404761904763
"GLA Collection Company, Inc.",667,1.0089955022488755
BOK FINANCIAL CORP,666,1.1411411411411412
ALLIANT CREDIT UNION,666,1.1681681681681682
Central Portfolio Control Inc.,660,1.003030303030303
CrossCountry Mortgage LLC,655,1.1389312977099237
"Weltman, Weinberg & Reis Co., L.P.A.",654,1.0152905198776758
POPULAR BANK,654,1.172782874617737
"Jon Barry and Associates, Inc.",654,1.305810397553517
"Financial Credit Service, Inc.",653,1.0091883614088821
Kikoff Inc.,653,1.0872894333843799
Grant & Weber,651,1.0092165898617511
BlueChip Financial,650,1.0015384615384615
"John C. Heath, Attorney at Law, PLLC",649,1.0970724191063175
"Halsted Financial Services, LLC.",641,1.0031201248049921
"AXOS FINANCIAL, INC.",640,1.0
FirstPoint Collection Resources,640,1.0234375
FIRSTBANK PUERTO RICO,638,1.067398119122257
"BANK OF NEW YORK MELLON CORPORATION, THE",636,1.1619496855345912
"Optimum Outcomes, Inc.",635,1.0015748031496063
Avant Credit Corporation,632,1.0237341772151898
"State Collection Service, Inc.",632,1.0379746835443038
CCF Intermediate Holdings LLC,626,1.0
"Bliksum, LLC",624,1.001602564102564
"Nationwide Recovery Systems, Ltd",624,1.0048076923076923
SN SERVICING CORPORATION,623,1.0016051364365972
"AMCOL Systems, Inc.",618,1.0275080906148868
GUARANTEED RATE INC.,618,1.0550161812297734
"Grain Technology, Inc.",616,1.0698051948051948
"HOVG, LLC",612,1.0
Riverwalk Financial Corporation,611,1.1063829787234043
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",610,1.0950819672131147
Merchants' Credit Guide Company,610,1.2704918032786885
Collection Bureau of America Ltd.,609,1.1215106732348112
Millco Management,602,1.004983388704319
"Credit Control, LLC",588,1.0
ASSOCIATED BANC-CORP,587,1.221465076660988
Linebarger Goggan Blair & Sampson LLP,585,1.0188034188034187
AVANTE,584,1.0068493150684932
FinCo Services Inc DBA Current,582,1.0996563573883162
"USCB, Inc.",581,1.0206540447504302
"Lockhart, Morris & Montgomery Inc.",577,1.0121317157712304
United PanAm Financial Corp.,577,1.1854419410745234
KBR INC DBA RASH CURTIS & ASSOCIATES,576,1.0173611111111112
"Professional Finance Company, Inc.",575,1.4034782608695653
"Open Dealer Exchange, LLC",572,1.1013986013986015
"Mobiloans, LLC",572,2.0
BTH Management,566,1.0229681978798586
"SCA Collections, Inc.",565,1.0
"VANDERBILT MORTGAGE & FINANCE, INC",562,1.0338078291814947
"McCarthy, Burgess & Wolff, Inc.",561,1.0
"Harvard Collections, LLC",559,1.1073345259391771
"AmerAssist A/R Solutions, Inc.",551,1.0562613430127041
"MERCANTILE ADJUSTMENT BUREAU, LLC",547,1.0091407678244972
ZWICKER & ASSOCIATES,547,1.1407678244972577
"Carter-Young, Inc.",545,1.0055045871559634
"Reverse Mortgage Solutions, Inc.",545,1.2477064220183487
CHECK INTO CASH INC.,544,1.2904411764705883
"BROKER SOLUTIONS, INC.",543,1.0423572744014733
Professional Recovery Management,537,1.0726256983240223
"Io, Inc.",532,1.1165413533834587
Focus Holding Company,531,1.0037664783427496
"GVA Holdings, LLC",529,1.168241965973535
BOEING EMPLOYEES CREDIT UNION,526,1.096958174904943
"Cascade CISS Holdings, LLC",522,1.0
"Southwest Recovery Services, Inc.",519,1.0096339113680155
FREEDOM FINANCIAL NETWORK,518,1.0907335907335907
"Carvana Group, LLC",516,1.005813953488372
Genesis Lending,513,1.02729044834308
First Advantage LNS Inc.,512,1.556640625
VALLEY NATIONAL BANCORP,509,1.237721021611002
"Total Card, Inc.",506,1.0039525691699605
First Technology Federal Credit Union,505,1.0772277227722773
"FIRST NIAGARA FINANCIAL GROUP, INC.",505,1.2752475247524753
Financial Business and Consumer Solutions.,503,1.0298210735586482
"FIDELITY CAPITAL HOLDINGS, INC",501,1.0119760479041917
NEW YORK COMMUNITY BANK,500,1.092
"Frontline Asset Strategies, LLC",497,1.0140845070422535
"WHEELS FINANCIAL GROUP, LLC.",494,1.0040485829959513
SQUARETWO FINANCIAL CORPORATION,492,1.2764227642276422
"Capital Management Services, LP",485,1.1649484536082475
TekCollect Inc.,483,1.041407867494824
"Northstar Location Services, LLC",483,1.4057971014492754
"Helvey & Associates, Inc., Warsaw, IN Branch",480,1.0770833333333334
Guild Mortgage Company LLC,478,1.0606694560669456
MORGAN STANLEY & CO. LLC,476,1.1302521008403361
"ATG Credit, LLC",475,1.04
"GOLDEN 1 CREDIT UNION, THE",475,1.1789473684210525
Harley Davidson Financial Services Inc,472,1.0466101694915255
"RFNA, LP",471,1.197452229299363
"Strategic Alliances, Inc.",463,1.0777537796976242
Southern Management Systems Inc.,459,1.0
"Duvera Billing Services, LLC",456,1.0548245614035088
"Remitly, Inc.",455,1.010989010989011
"Kimball, Tirey & St. John LLP",454,1.02863436123348
PROVIDENT FUNDING ASSOCIATES,454,1.169603524229075
"Platinum Holdings Group, LLC",453,1.163355408388521
Northland Group Inc,453,1.5849889624724063
LOBEL FINANCIAL CORPORATION,445,1.0674157303370786
"Collection Bureau of the Hudson Valley, Inc.",445,1.4786516853932585
"Foris DAX, Inc.",443,1.1128668171557563
"Paramount GR Holdings, LLC",442,1.0407239819004526
"Direct Recovery Services, LLC",440,1.1704545454545454
"Opportunity Financial, LLC",438,1.0114155251141552
MUFG AMERICAS HOLDINGS CORPORATION,434,1.6059907834101383
Cottonwood Financial Ltd.,433,1.0207852193995381
UMB FINANCIAL CORPORATION,432,1.1643518518518519
"Ray Klein, Inc.",430,1.3
"AMA Advisors, LLC.",429,1.0932400932400932
"LFG Data Services Holdings, LP",428,1.2616822429906542
"Designed Receivable Solutions, Inc.",426,1.0023474178403755
AMERICA FIRST FEDERAL CREDIT UNION,426,1.0093896713615023
"Client Services, Inc.",425,1.1670588235294117
"ResidentCollect, Inc.",423,1.0567375886524824
"Cedars Business Services, LLC",418,1.0215311004784688
HANCOCK WHITNEY BANK,418,1.1961722488038278
MicroBilt / PRBC (formerly CL Verify),417,1.0023980815347722
"Simon's Agency, Inc.",412,1.0145631067961165
"California Business Bureau, Inc.",412,1.016990291262136
"Account Control Technology, Inc.",412,1.5509708737864079
"Duncan Solutions, lnc.",409,1.02200488997555
Possible Financial Inc,408,1.0343137254901962
"ARS National Services, Inc.",408,1.0833333333333333
"Mortgage Research Center, LLC",406,1.019704433497537
Credit Card Receivables Fund Incorporated,405,1.0345679012345679
UMPQUA HOLDINGS CORPORATION,402,1.1194029850746268
"LTD Financial Services, L.P.",401,1.167082294264339
"Synerprise Consulting Services, Inc.",400,1.01
AMERICAN ADVISORS GROUP,395,1.0531645569620254
Aspen Yo LLC,394,1.0355329949238579
FIRST PORTFOLIO SERVICING INC,392,1.0
"Marlette Funding, LLC",391,1.0076726342710998
First Associates Loan Servicing LLC,389,1.056555269922879
"Harpeth Financial Services, LLC",389,1.0745501285347043
"Certegy Holdings, LLC",388,1.0
Absolute Resolutions Corp.,388,1.038659793814433
"RS Clark and Associates, Inc.",388,1.0438144329896908
LendingPoint Holdings LLC,388,1.0876288659793814
Klarna AB,387,1.020671834625323
"SIMM Associates, Inc.",386,1.0155440414507773
Sterling Infosystems Inc.,382,1.0052356020942408
WLCC,382,1.1858638743455496
"Asset Recovery Solutions, LLC",380,1.3
VYSTAR CREDIT UNION,379,1.1187335092348285
"PMAB,LLC",376,1.0079787234042554
"CMG MORTGAGE, INC",374,1.0374331550802138
Hillcrest Davidson & Associates,374,1.106951871657754
Clarity Services,372,1.0053763440860215
"Stearns Ventures, LLC",372,1.0376344086021505
AMERIS BANCORP,372,1.0618279569892473
"Home Loan Center, Inc.",371,1.0161725067385445
"Pacific Union Financial, LLC",367,1.0163487738419619
"PlusFour, Inc",367,1.11716621253406
"Merchants and Medical Credit Corporation, Inc.",367,1.4087193460490464
"HUNTINGTON NATIONAL BANK, THE - FIRSTMERIT BANK, N.A. BRANCH",366,1.2349726775956285
"Reliant Capital Solutions, LLC",366,1.9043715846994536
"Aqua Finance, Inc.",364,1.0576923076923077
ADP Inc.,363,1.0137741046831956
Equitable Acceptance Corp,363,1.0716253443526171
SUNCOAST CREDIT UNION,360,1.011111111111111
"Jim Bottin Enterprises, Inc",357,1.0028011204481793
Financial Data Systems,357,1.0140056022408963
COAST PROFESSIONAL INC,352,1.0028409090909092
FCI Lender Services Inc.,352,1.0085227272727273
Medical Business Bureau,351,1.0256410256410255
"Professional Bureau of Collections of Maryland, Inc., GREENWOOD VILLAGE, CO Branch",350,1.0342857142857143
Financial Credit Network Inc,349,1.177650429799427
Albert Corporation,348,1.0114942528735633
"Second Round Limited Partnership, Austin, TX Branch",348,1.146551724137931
"The Best Service Co.,Inc",347,1.0115273775216138
Movement Mortgage LLC,345,1.0434782608695652
"Altisource Portfolio Solutions, S.à r.l.",342,1.2222222222222223
Frost-Arnett Company,341,1.0
Creditors Bureau Associates,341,1.0469208211143695
EAST WEST BANK,339,1.126843657817109
SCHOOLSFIRST FEDERAL CREDIT UNION,337,1.0682492581602374
"American Collections Enterprise, Inc.",337,1.0919881305637982
1st Franklin Financial Corporation,336,1.0238095238095237
Perfection Collection,333,1.0690690690690692
Patenaude & Felix A Professional Corporation,332,1.0090361445783131
"Persolve, LLC - Legal - Series 2",332,1.0120481927710843
Arbor Residential Mortgage LLC,332,1.1897590361445782
"North Shore Agency, LLC",331,1.0181268882175227
MECHANICS BANK,328,1.0335365853658536
"Windham Professionals, Inc.",328,2.0
"Collection Information Bureau, Inc.",325,1.0
"Monarch Recovery Holdings, Inc.",325,1.083076923076923
Global Credit & Collection Corporation,324,1.2314814814814814
"SUN WEST MORTGAGE COMPANY, INC.",323,1.0123839009287925
"TIDEWATER FINANCE COMPANY, INC.",323,1.0402476780185759
"Mountain Run Solutions, LLC",321,1.0124610591900312
Bonneville Billing and Collections,318,1.0
"Blitt and Gaines, P.C.",318,1.0849056603773586
OLD NATIONAL BANCORP,318,1.2578616352201257
"Associated Credit Services, Inc.",317,1.0220820189274449
SUN LOAN COMPANY INC.,317,1.0662460567823344
WSFS FINANCIAL CORPORATION,316,1.0
"Pendrick Capital Partners Holding, LLC",315,1.0317460317460319
"Webcollex, LLC",314,1.0636942675159236
Zions Debt Holdings,310,1.0
Village Capital & Investment LLC,310,1.0161290322580645
Quality Loan Service Corporation,307,1.009771986970684
Quality Asset Recovery LLC,306,1.0555555555555556
RIA FINANCIAL,306,1.065359477124183
"Avadyne Health Holdings, Inc",306,1.1503267973856208
Unifin Inc.,305,1.0
Synergetic Communication Inc,304,1.0
FACTUAL DATA CORP.,304,1.0032894736842106
"OPTUM BANK, INC.",303,1.046204620462046
"MNE Services, Inc",303,1.4059405940594059
"Peer Advisors, LLC",301,1.0033222591362125
"Berlin-Wheeler, Inc. (Kansas)",300,1.0
ONEMAIN FINANCE CORPORATION,300,1.2233333333333334
"First Investors Servicing Corporation, Atlanta, GA Branch",300,1.2466666666666666
